,Log_Pop,White,Black,Asian,WomenRatio,Poverty,Unemployment,Professional,Construction,PublicWork,SelfEmployed,RepRatio,RepWon
190,20.51210000747936,45.7,9.5,15.1,0.5113815701484553,16.7,8.8,38.4,7.9,21.3,6.9,0.3562961843804082,0
191,15.84035996134475,35.6,0.7,2.7,0.5021731349388966,9.7,8.8,29.1,16.9,16.6,7.3,0.3630940135774532,0
192,21.016462825482314,29.8,8.0,6.7,0.5025645619030558,18.2,9.9,29.0,10.1,16.2,6.4,0.4310315609105095,0
193,21.64687551998095,46.2,4.7,11.5,0.4971633829882159,13.3,7.1,41.3,7.6,14.2,7.8,0.3697190821559625,0
194,19.72111087369912,40.8,5.1,33.9,0.4901632952006507,11.7,5.4,55.0,3.5,11.2,8.2,0.1262811774633637,0
195,19.4659350184598,33.2,6.7,14.8,0.5025263998077755,17.1,10.1,27.5,13.6,14.4,6.4,0.4156130307647955,0
196,18.09568031674294,69.4,1.8,3.6,0.4924228631403082,13.8,4.8,39.2,10.1,18.8,10.8,0.4160430380840155,0
197,19.542174149318637,39.9,2.3,27.2,0.5073089265832733,7.3,4.7,47.4,6.0,11.3,8.0,0.2001032497187107,0
198,18.756934146566504,45.3,1.7,5.2,0.4989683879764151,15.4,6.6,35.2,14.1,16.0,8.1,0.3242955245086431,0
199,20.866066954547467,32.6,2.4,34.9,0.495969079533242,8.6,5.7,52.1,6.3,9.3,5.9,0.2496495679070508,0
200,18.059930605610862,57.8,0.8,4.4,0.5035771399713829,14.7,6.7,40.7,10.9,15.4,10.8,0.1838703071672354,0
201,17.448947074516862,80.4,1.1,2.9,0.5095378355568722,18.1,6.8,31.7,10.5,16.5,10.0,0.6454760716523142,1
202,11.494355603532846,87.0,0.1,0.0,0.4842287694974003,12.3,5.3,30.2,19.4,35.1,15.1,0.5835462442514052,1
203,15.409722399675262,77.2,1.5,1.6,0.5013553870893637,20.7,9.1,32.9,14.4,22.5,14.3,0.5591551666105689,1
204,18.73059285975581,39.0,13.8,14.8,0.5032564640754423,11.5,8.5,32.7,10.5,18.5,6.5,0.3327124518736858,0
